Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Cows,1514,livestock,Medium Livestock Truck,2141
Meat,967,perishable goods,Medium Refrigerated Van,2762
Rice,2036,crops,Large Pickup Truck,3728
Cows,9532,livestock,10 wheeler Livestock Truck,9831
Corn,4237,crops,Heavy Duty Pickup Truck,5894
Goats,2872,livestock,Medium Livestock Truck,4003
Pigs,96,livestock,Small Livestock Truck,1827
Chickens,74,livestock,Small Livestock Truck,929
Cows,3176,livestock,Large Livestock Truck,4534
Leafy Greens,205,perishable goods,Small Refrigerated Van,1591
Corn,3192,crops,Large Pickup Truck,5043
Vegetables,7805,crops,Dropside Truck,7950
Goats,1722,livestock,Medium Livestock Truck,3100
Vegetables,869,crops,Small Pickup Truck,1768
Frozen Fish,7570,perishable goods,Large Refrigerated Truck,9267
Fresh Vegetables,3670,perishable goods,Medium Refrigerated Truck,3880
Meat,10010,perishable goods,10 wheeler Reefer Truck,11850
Corn,6151,crops,Dropside Truck,7739
Chickens,2795,livestock,Medium Livestock Truck,4603
Meat,5219,perishable goods,Large Refrigerated Truck,5998
Fruits,3873,crops,Heavy Duty Pickup Truck,4032
Meat,9698,perishable goods,10 wheeler Reefer Truck,10543
Rice,5487,crops,Dropside Truck,6562
Eggs,7097,perishable goods,Large Refrigerated Truck,8573
Pigs,9373,livestock,10 wheeler Livestock Truck,10252
Eggs,932,perishable goods,Medium Refrigerated Van,2363
Goats,8587,livestock,10 wheeler Livestock Truck,9037
Leafy Greens,4166,perishable goods,Medium Refrigerated Truck,4942
Chickens,11696,livestock,10 wheeler Livestock Truck,12106
Fresh Vegetables,9877,perishable goods,10 wheeler Reefer Truck,9991
Frozen Fish,10793,perishable goods,10 wheeler Reefer Truck,11253
Chickens,9581,livestock,10 wheeler Livestock Truck,9958
Milk,11836,perishable goods,10 wheeler Reefer Truck,13300
Pigs,737,livestock,Small Livestock Truck,2645
Milk,3901,perishable goods,Medium Refrigerated Truck,4675
Vegetables,5873,crops,Dropside Truck,7342
Vegetables,10616,crops,10 Wheeler Cargo Truck,10951
Fruits,4125,crops,Heavy Duty Pickup Truck,4257
Leafy Greens,11734,perishable goods,10 wheeler Reefer Truck,13343
Fruits,8559,crops,10 Wheeler Cargo Truck,10140
Meat,9434,perishable goods,10 wheeler Reefer Truck,11388
Fresh Vegetables,793,perishable goods,Small Refrigerated Van,1736
Frozen Fish,4639,perishable goods,Medium Refrigerated Truck,6411
Fruits,4711,crops,Dropside Truck,6658
Rice,9720,crops,10 Wheeler Cargo Truck,10440
Goats,1647,livestock,Medium Livestock Truck,3347
Frozen Fish,11221,perishable goods,10 wheeler Reefer Truck,12265
Leafy Greens,8180,perishable goods,Large Refrigerated Truck,9025
Milk,2765,perishable goods,Small Refrigerated Truck,3925
Frozen Fish,8706,perishable goods,Large Refrigerated Truck,9680
Vegetables,11390,crops,10 Wheeler Cargo Truck,12346
Fresh Vegetables,10924,perishable goods,10 wheeler Reefer Truck,11635
Frozen Fish,4440,perishable goods,Medium Refrigerated Truck,5911
Chickens,2649,livestock,Medium Livestock Truck,4303
Fresh Vegetables,3402,perishable goods,Medium Refrigerated Truck,5064
Milk,8502,perishable goods,Large Refrigerated Truck,9522
Vegetables,14686,crops,10 Wheeler Dump Truck,16257
Chickens,9938,livestock,10 wheeler Livestock Truck,11448
Corn,6737,crops,Dropside Truck,8604
Leafy Greens,1496,perishable goods,Large Refrigerated Van,2278
Milk,765,perishable goods,Small Refrigerated Van,2656
Chickens,6853,livestock,Large Livestock Truck,7143
Chickens,11897,livestock,10 wheeler Livestock Truck,13772
Chickens,2991,livestock,Medium Livestock Truck,4918
Fruits,3626,crops,Heavy Duty Pickup Truck,5521
Meat,1033,perishable goods,Medium Refrigerated Van,1863
Frozen Fish,1936,perishable goods,Small Refrigerated Truck,2793
Meat,6564,perishable goods,Large Refrigerated Truck,8170
Fruits,2882,crops,Large Pickup Truck,4154
Corn,12982,crops,10 Wheeler Dump Truck,13611
Corn,3260,crops,Elf Truck,3443
Leafy Greens,782,perishable goods,Small Refrigerated Van,2356
Corn,4081,crops,Heavy Duty Pickup Truck,5870
Goats,6272,livestock,Large Livestock Truck,8195
Vegetables,12559,crops,10 Wheeler Dump Truck,13345
Cows,10390,livestock,10 wheeler Livestock Truck,12258
Vegetables,8416,crops,10 Wheeler Cargo Truck,9828
Frozen Fish,5299,perishable goods,Large Refrigerated Truck,7288
Pigs,10804,livestock,10 wheeler Livestock Truck,12202
Fruits,3301,crops,Elf Truck,4330
Fruits,12157,crops,10 Wheeler Dump Truck,12576
Fresh Vegetables,5252,perishable goods,Large Refrigerated Truck,7126
Fruits,4557,crops,Dropside Truck,4716
Frozen Fish,7915,perishable goods,Large Refrigerated Truck,9514
Frozen Fish,10752,perishable goods,10 wheeler Reefer Truck,12358
Corn,7514,crops,Dropside Truck,8210
Goats,3660,livestock,Large Livestock Truck,5496
Goats,523,livestock,Small Livestock Truck,2099
Fruits,11290,crops,10 Wheeler Cargo Truck,12038
Pigs,6001,livestock,Large Livestock Truck,7116
Pigs,3090,livestock,Large Livestock Truck,4572
Vegetables,9228,crops,10 Wheeler Cargo Truck,10286
Fruits,13737,crops,10 Wheeler Dump Truck,15359
Rice,5502,crops,Dropside Truck,6223
Cows,7496,livestock,10 wheeler Livestock Truck,8526
Pigs,11476,livestock,10 wheeler Livestock Truck,11920
Meat,8142,perishable goods,Large Refrigerated Truck,9325
Fresh Vegetables,9172,perishable goods,10 wheeler Reefer Truck,10025
Frozen Fish,10483,perishable goods,10 wheeler Reefer Truck,12279
Cows,11,livestock,Small Livestock Truck,1819
Cows,3033,livestock,Large Livestock Truck,4539
Cows,6577,livestock,Large Livestock Truck,6903
Chickens,140,livestock,Small Livestock Truck,1658
Rice,4299,crops,Heavy Duty Pickup Truck,4503
Eggs,1276,perishable goods,Large Refrigerated Van,2304
Eggs,3692,perishable goods,Medium Refrigerated Truck,5499
Cows,5828,livestock,Large Livestock Truck,7399
Milk,8384,perishable goods,Large Refrigerated Truck,10108
Fruits,4530,crops,Dropside Truck,5004
Goats,5475,livestock,Large Livestock Truck,6676
Eggs,1201,perishable goods,Large Refrigerated Van,2343
Milk,11400,perishable goods,10 wheeler Reefer Truck,12145
Cows,678,livestock,Small Livestock Truck,2215
Milk,4915,perishable goods,Medium Refrigerated Truck,6076
Pigs,9530,livestock,10 wheeler Livestock Truck,10310
Goats,11606,livestock,10 wheeler Livestock Truck,12789
Frozen Fish,8007,perishable goods,Large Refrigerated Truck,8942
Milk,6956,perishable goods,Large Refrigerated Truck,7258
Leafy Greens,7712,perishable goods,Large Refrigerated Truck,9362
Meat,6629,perishable goods,Large Refrigerated Truck,8158
Corn,8223,crops,Dropside Truck,8512
Eggs,290,perishable goods,Small Refrigerated Van,1089
Corn,4579,crops,Dropside Truck,6285
Meat,11037,perishable goods,10 wheeler Reefer Truck,12321
Cows,2054,livestock,Medium Livestock Truck,3844
Corn,7394,crops,Dropside Truck,7861
Goats,3943,livestock,Large Livestock Truck,5198
Chickens,11690,livestock,10 wheeler Livestock Truck,13144
Leafy Greens,3130,perishable goods,Medium Refrigerated Truck,3635
Milk,3824,perishable goods,Medium Refrigerated Truck,4840
Fresh Vegetables,4904,perishable goods,Medium Refrigerated Truck,6049
Milk,10421,perishable goods,10 wheeler Reefer Truck,11264
Leafy Greens,2565,perishable goods,Small Refrigerated Truck,3635
Eggs,11267,perishable goods,10 wheeler Reefer Truck,12373
Frozen Fish,8202,perishable goods,Large Refrigerated Truck,9952
Goats,410,livestock,Small Livestock Truck,1269
Fruits,9986,crops,10 Wheeler Cargo Truck,11214
Meat,5096,perishable goods,Large Refrigerated Truck,6395
Rice,4720,crops,Dropside Truck,4876
Fresh Vegetables,10045,perishable goods,10 wheeler Reefer Truck,10702
Vegetables,759,crops,Small Multicab,2067
Milk,7326,perishable goods,Large Refrigerated Truck,8306
Goats,1218,livestock,Small Livestock Truck,3094
Meat,1348,perishable goods,Large Refrigerated Van,2403
Chickens,2938,livestock,Medium Livestock Truck,3904
Vegetables,606,crops,Small Delivery Van,1131
Meat,1289,perishable goods,Large Refrigerated Van,2368
Eggs,593,perishable goods,Small Refrigerated Van,1937
Cows,10331,livestock,10 wheeler Livestock Truck,10725
Rice,1668,crops,Elf Truck,1889
Leafy Greens,7766,perishable goods,Large Refrigerated Truck,9129
Meat,11463,perishable goods,10 wheeler Reefer Truck,12022
Corn,3906,crops,Heavy Duty Pickup Truck,5446
Pigs,9437,livestock,10 wheeler Livestock Truck,10049
Cows,9488,livestock,10 wheeler Livestock Truck,10740
Vegetables,5574,crops,Dropside Truck,6874
Cows,3834,livestock,Large Livestock Truck,4923
Corn,12370,crops,10 Wheeler Dump Truck,13469
Fresh Vegetables,3747,perishable goods,Medium Refrigerated Truck,4215
Eggs,241,perishable goods,Small Refrigerated Van,970
Vegetables,3022,crops,Large Pickup Truck,3849
Pigs,3543,livestock,Large Livestock Truck,4483
Rice,12098,crops,10 Wheeler Dump Truck,12859
Milk,9537,perishable goods,10 wheeler Reefer Truck,9878
Frozen Fish,10384,perishable goods,10 wheeler Reefer Truck,11920
Leafy Greens,8103,perishable goods,Large Refrigerated Truck,9479
Goats,2518,livestock,Medium Livestock Truck,4272
Frozen Fish,9564,perishable goods,10 wheeler Reefer Truck,10222
Rice,6041,crops,Dropside Truck,7899
Pigs,8239,livestock,10 wheeler Livestock Truck,9531
Goats,2783,livestock,Medium Livestock Truck,4530
Rice,9272,crops,10 Wheeler Cargo Truck,11188
Frozen Fish,795,perishable goods,Small Refrigerated Van,2291
Leafy Greens,9528,perishable goods,10 wheeler Reefer Truck,10202
Eggs,3966,perishable goods,Medium Refrigerated Truck,4853
Eggs,729,perishable goods,Small Refrigerated Van,2514
Cows,3107,livestock,Large Livestock Truck,3950
Meat,6636,perishable goods,Large Refrigerated Truck,7458
Leafy Greens,3817,perishable goods,Medium Refrigerated Truck,5511
Milk,2621,perishable goods,Small Refrigerated Truck,2914
Leafy Greens,11145,perishable goods,10 wheeler Reefer Truck,12330
Vegetables,4111,crops,Heavy Duty Pickup Truck,5438
Fruits,8414,crops,10 Wheeler Cargo Truck,9887
Frozen Fish,10789,perishable goods,10 wheeler Reefer Truck,11870
Leafy Greens,3048,perishable goods,Medium Refrigerated Truck,4640
Vegetables,2479,crops,Elf Truck,3856
Vegetables,11438,crops,10 Wheeler Cargo Truck,12106
Milk,8143,perishable goods,Large Refrigerated Truck,9214
Meat,3189,perishable goods,Medium Refrigerated Truck,4769
Corn,9591,crops,10 Wheeler Cargo Truck,10399
Chickens,3059,livestock,Large Livestock Truck,3329
Frozen Fish,11680,perishable goods,10 wheeler Reefer Truck,12470
Fruits,2652,crops,Elf Truck,2935
Vegetables,11251,crops,10 Wheeler Cargo Truck,12575
Rice,13020,crops,10 Wheeler Dump Truck,14545
Frozen Fish,4398,perishable goods,Medium Refrigerated Truck,6098
Cows,6956,livestock,Large Livestock Truck,8541
Eggs,1791,perishable goods,Small Refrigerated Truck,3157
Rice,13446,crops,10 Wheeler Dump Truck,15100
Eggs,11096,perishable goods,10 wheeler Reefer Truck,12127
Cows,11153,livestock,10 wheeler Livestock Truck,12630
Milk,8235,perishable goods,Large Refrigerated Truck,10215
Cows,2281,livestock,Medium Livestock Truck,3670
Leafy Greens,1556,perishable goods,Small Refrigerated Truck,3252
Fruits,9584,crops,10 Wheeler Cargo Truck,11383
Leafy Greens,7986,perishable goods,Large Refrigerated Truck,8944
Fruits,12118,crops,10 Wheeler Dump Truck,12926
Pigs,2357,livestock,Medium Livestock Truck,2823
Cows,811,livestock,Small Livestock Truck,2323
Vegetables,13619,crops,10 Wheeler Dump Truck,14272
Corn,7039,crops,Dropside Truck,7168
Cows,10392,livestock,10 wheeler Livestock Truck,12003
Eggs,2468,perishable goods,Small Refrigerated Truck,4113
Chickens,1515,livestock,Medium Livestock Truck,3368
Goats,2811,livestock,Medium Livestock Truck,4615
Meat,1325,perishable goods,Large Refrigerated Van,2619
Fruits,10446,crops,10 Wheeler Cargo Truck,10705
Fresh Vegetables,2801,perishable goods,Small Refrigerated Truck,3560
Eggs,2328,perishable goods,Small Refrigerated Truck,3964
Goats,8420,livestock,10 wheeler Livestock Truck,10409
Fruits,7649,crops,Dropside Truck,9490
Meat,9060,perishable goods,10 wheeler Reefer Truck,11012
Fresh Vegetables,3381,perishable goods,Medium Refrigerated Truck,4640
Leafy Greens,4790,perishable goods,Medium Refrigerated Truck,6522
Vegetables,13346,crops,10 Wheeler Dump Truck,13907
Vegetables,10367,crops,10 Wheeler Cargo Truck,12045
Goats,778,livestock,Small Livestock Truck,1513
Leafy Greens,9088,perishable goods,10 wheeler Reefer Truck,10206
Leafy Greens,8748,perishable goods,Large Refrigerated Truck,10139
Milk,2557,perishable goods,Small Refrigerated Truck,2956
Meat,2240,perishable goods,Small Refrigerated Truck,2842
Vegetables,9655,crops,10 Wheeler Cargo Truck,11333
Leafy Greens,9422,perishable goods,10 wheeler Reefer Truck,10777
Pigs,10670,livestock,10 wheeler Livestock Truck,10986
Eggs,4786,perishable goods,Medium Refrigerated Truck,5760
Pigs,11302,livestock,10 wheeler Livestock Truck,11682
Frozen Fish,147,perishable goods,Small Refrigerated Van,1456
Goats,5982,livestock,Large Livestock Truck,6178
Goats,7784,livestock,10 wheeler Livestock Truck,7937
Pigs,9957,livestock,10 wheeler Livestock Truck,11616
Meat,3987,perishable goods,Medium Refrigerated Truck,5520
Frozen Fish,6329,perishable goods,Large Refrigerated Truck,7712
Corn,8489,crops,10 Wheeler Cargo Truck,10262
Goats,11376,livestock,10 wheeler Livestock Truck,12868
Corn,6246,crops,Dropside Truck,7767
Fruits,2901,crops,Elf Truck,3333
Eggs,270,perishable goods,Small Refrigerated Van,801
Corn,7112,crops,Dropside Truck,8919
Milk,6495,perishable goods,Large Refrigerated Truck,7075
Meat,1506,perishable goods,Small Refrigerated Truck,2046
Fruits,4988,crops,Dropside Truck,5727
Rice,1951,crops,Large Delivery Van,2767
Chickens,11762,livestock,10 wheeler Livestock Truck,13642
Chickens,4806,livestock,Large Livestock Truck,6475
Goats,512,livestock,Small Livestock Truck,2489
Milk,1597,perishable goods,Small Refrigerated Truck,2997
Meat,11279,perishable goods,10 wheeler Reefer Truck,12041
Frozen Fish,9608,perishable goods,10 wheeler Reefer Truck,10592
Vegetables,4526,crops,Dropside Truck,5870
Fresh Vegetables,6617,perishable goods,Large Refrigerated Truck,7257
Chickens,9592,livestock,10 wheeler Livestock Truck,9725
Frozen Fish,9013,perishable goods,10 wheeler Reefer Truck,9717
Meat,8337,perishable goods,Large Refrigerated Truck,10223
Fruits,8409,crops,10 Wheeler Cargo Truck,9126
Fresh Vegetables,7747,perishable goods,Large Refrigerated Truck,8459
Leafy Greens,7707,perishable goods,Large Refrigerated Truck,9341
Fresh Vegetables,5705,perishable goods,Large Refrigerated Truck,7704
Milk,11163,perishable goods,10 wheeler Reefer Truck,12916
Fresh Vegetables,1540,perishable goods,Small Refrigerated Truck,2598
Leafy Greens,7607,perishable goods,Large Refrigerated Truck,9347
Chickens,5577,livestock,Large Livestock Truck,7332
Frozen Fish,3631,perishable goods,Medium Refrigerated Truck,3815
Chickens,8787,livestock,10 wheeler Livestock Truck,9007
Cows,4467,livestock,Large Livestock Truck,4615
Meat,8546,perishable goods,Large Refrigerated Truck,8674
Fruits,10850,crops,10 Wheeler Cargo Truck,12066
Eggs,5132,perishable goods,Large Refrigerated Truck,5695
Vegetables,3646,crops,Heavy Duty Pickup Truck,5619
Leafy Greens,5177,perishable goods,Large Refrigerated Truck,5849
Fruits,12336,crops,10 Wheeler Dump Truck,13738
Goats,8059,livestock,10 wheeler Livestock Truck,8454
Vegetables,3488,crops,Heavy Duty Pickup Truck,4284
Fresh Vegetables,3023,perishable goods,Medium Refrigerated Truck,3784
Vegetables,14977,crops,10 Wheeler Dump Truck,15970
Frozen Fish,5970,perishable goods,Large Refrigerated Truck,6458
Vegetables,8131,crops,10 Wheeler Cargo Truck,8672
Fresh Vegetables,3015,perishable goods,Medium Refrigerated Truck,4244
Fresh Vegetables,3504,perishable goods,Medium Refrigerated Truck,3662
Frozen Fish,3655,perishable goods,Medium Refrigerated Truck,5530
Goats,4716,livestock,Large Livestock Truck,6492
Fruits,4533,crops,Dropside Truck,5548
Goats,7296,livestock,10 wheeler Livestock Truck,7750
Eggs,9546,perishable goods,10 wheeler Reefer Truck,10442
Milk,1771,perishable goods,Small Refrigerated Truck,2231
Leafy Greens,6500,perishable goods,Large Refrigerated Truck,6979
Milk,6096,perishable goods,Large Refrigerated Truck,6555
Fruits,10892,crops,10 Wheeler Cargo Truck,12604
Meat,5509,perishable goods,Large Refrigerated Truck,6351
Pigs,7316,livestock,10 wheeler Livestock Truck,9131
Milk,366,perishable goods,Small Refrigerated Van,1664
Rice,13551,crops,10 Wheeler Dump Truck,15243
Goats,4083,livestock,Large Livestock Truck,4283
Fruits,3396,crops,Large Pickup Truck,4511
Meat,10135,perishable goods,10 wheeler Reefer Truck,10561
Rice,1162,crops,Large Multicab,2019
Milk,615,perishable goods,Small Refrigerated Van,1878
Vegetables,10438,crops,10 Wheeler Cargo Truck,10800
Frozen Fish,4558,perishable goods,Medium Refrigerated Truck,5642
Vegetables,2088,crops,Elf Truck,3693
Fresh Vegetables,7932,perishable goods,Large Refrigerated Truck,9213
Cows,9209,livestock,10 wheeler Livestock Truck,10465
Goats,2237,livestock,Medium Livestock Truck,3396
Meat,1865,perishable goods,Small Refrigerated Truck,2811
Fruits,1590,crops,Elf Truck,3071
Corn,11369,crops,10 Wheeler Cargo Truck,12337
Fresh Vegetables,1420,perishable goods,Large Refrigerated Van,3412
Milk,11732,perishable goods,10 wheeler Reefer Truck,12836
Cows,8808,livestock,10 wheeler Livestock Truck,9844
Goats,1353,livestock,Small Livestock Truck,3069
Corn,10997,crops,10 Wheeler Cargo Truck,12742
Leafy Greens,9177,perishable goods,10 wheeler Reefer Truck,9981
Rice,5749,crops,Dropside Truck,7565
Pigs,5290,livestock,Large Livestock Truck,5765
Rice,1275,crops,Medium Pickup Truck,2579
Rice,9608,crops,10 Wheeler Cargo Truck,10977
Rice,12269,crops,10 Wheeler Dump Truck,13508
Meat,1801,perishable goods,Small Refrigerated Truck,3158
Milk,10692,perishable goods,10 wheeler Reefer Truck,10796
Eggs,4770,perishable goods,Medium Refrigerated Truck,5921
Rice,1613,crops,Elf Truck,3494
Rice,12505,crops,10 Wheeler Dump Truck,14186
Leafy Greens,5116,perishable goods,Large Refrigerated Truck,6378
Fresh Vegetables,7859,perishable goods,Large Refrigerated Truck,8285
Fresh Vegetables,5624,perishable goods,Large Refrigerated Truck,7399
Frozen Fish,6839,perishable goods,Large Refrigerated Truck,8371
Vegetables,10288,crops,10 Wheeler Cargo Truck,10763
Corn,14320,crops,10 Wheeler Dump Truck,14515
Cows,4095,livestock,Large Livestock Truck,5370
Meat,7038,perishable goods,Large Refrigerated Truck,7916
Fresh Vegetables,11978,perishable goods,10 wheeler Reefer Truck,12159
Leafy Greens,1763,perishable goods,Small Refrigerated Truck,3262
Cows,7888,livestock,10 wheeler Livestock Truck,9092
Fruits,2241,crops,Elf Truck,2924
Cows,6630,livestock,Large Livestock Truck,8529
Leafy Greens,5602,perishable goods,Large Refrigerated Truck,6440
Vegetables,1271,crops,Medium Pickup Truck,2486
Goats,1256,livestock,Small Livestock Truck,1395
Milk,4453,perishable goods,Medium Refrigerated Truck,5796
Frozen Fish,5085,perishable goods,Large Refrigerated Truck,6804
Cows,9807,livestock,10 wheeler Livestock Truck,10165
Eggs,4221,perishable goods,Medium Refrigerated Truck,5888
Vegetables,1925,crops,Large Pickup Truck,2650
Meat,1691,perishable goods,Small Refrigerated Truck,1837
Rice,11953,crops,10 Wheeler Cargo Truck,12468
Cows,6115,livestock,Large Livestock Truck,7640
Corn,2336,crops,Large Pickup Truck,3287
Chickens,10347,livestock,10 wheeler Livestock Truck,11136
Goats,9721,livestock,10 wheeler Livestock Truck,11420
Vegetables,14763,crops,10 Wheeler Dump Truck,15271
Pigs,6723,livestock,Large Livestock Truck,8098
Chickens,9163,livestock,10 wheeler Livestock Truck,10120
Vegetables,1598,crops,Large Delivery Van,2431
Chickens,1460,livestock,Small Livestock Truck,2234
Frozen Fish,2256,perishable goods,Small Refrigerated Truck,2937
Pigs,6971,livestock,Large Livestock Truck,7160
Meat,4864,perishable goods,Medium Refrigerated Truck,5541
Chickens,8752,livestock,10 wheeler Livestock Truck,9882
Pigs,4962,livestock,Large Livestock Truck,5837
Pigs,7383,livestock,10 wheeler Livestock Truck,8892
Eggs,10415,perishable goods,10 wheeler Reefer Truck,12279
Meat,1453,perishable goods,Large Refrigerated Van,2496
Chickens,10538,livestock,10 wheeler Livestock Truck,11448
Vegetables,789,crops,Small Delivery Van,1094
Rice,8733,crops,10 Wheeler Cargo Truck,10611
Meat,9378,perishable goods,10 wheeler Reefer Truck,10039
Cows,8331,livestock,10 wheeler Livestock Truck,10127
Goats,7098,livestock,10 wheeler Livestock Truck,8942
Frozen Fish,787,perishable goods,Small Refrigerated Van,2553
Fresh Vegetables,9110,perishable goods,10 wheeler Reefer Truck,10522
Goats,6343,livestock,Large Livestock Truck,6519
Fruits,12337,crops,10 Wheeler Dump Truck,13476
Leafy Greens,570,perishable goods,Small Refrigerated Van,2306
Milk,4549,perishable goods,Medium Refrigerated Truck,6535
Frozen Fish,4567,perishable goods,Medium Refrigerated Truck,5893
Milk,10173,perishable goods,10 wheeler Reefer Truck,11598
Goats,322,livestock,Small Livestock Truck,1388
Rice,4468,crops,Dropside Truck,6127
Chickens,9801,livestock,10 wheeler Livestock Truck,11237
Cows,4060,livestock,Large Livestock Truck,5403
Rice,1160,crops,Medium Pickup Truck,1949
Goats,3802,livestock,Large Livestock Truck,4071
Milk,827,perishable goods,Medium Refrigerated Van,1938
Frozen Fish,10315,perishable goods,10 wheeler Reefer Truck,11483
Eggs,896,perishable goods,Medium Refrigerated Van,2345
Vegetables,12979,crops,10 Wheeler Dump Truck,14200
Fresh Vegetables,1891,perishable goods,Small Refrigerated Truck,2893
Eggs,8337,perishable goods,Large Refrigerated Truck,9483
Cows,10337,livestock,10 wheeler Livestock Truck,10861
Meat,1157,perishable goods,Medium Refrigerated Van,1662
Chickens,4303,livestock,Large Livestock Truck,5552
Fresh Vegetables,1422,perishable goods,Large Refrigerated Van,2529
Leafy Greens,6427,perishable goods,Large Refrigerated Truck,8247
Meat,4779,perishable goods,Medium Refrigerated Truck,4998
Fresh Vegetables,10679,perishable goods,10 wheeler Reefer Truck,11184
Eggs,9589,perishable goods,10 wheeler Reefer Truck,10445
Vegetables,7843,crops,Dropside Truck,9221
Meat,6404,perishable goods,Large Refrigerated Truck,7719
Chickens,3521,livestock,Large Livestock Truck,3902
Milk,1745,perishable goods,Small Refrigerated Truck,3117
Vegetables,12894,crops,10 Wheeler Dump Truck,14194
Rice,13831,crops,10 Wheeler Dump Truck,14117
Chickens,7337,livestock,10 wheeler Livestock Truck,7826
Cows,4349,livestock,Large Livestock Truck,4596
Leafy Greens,11442,perishable goods,10 wheeler Reefer Truck,12677
Goats,11095,livestock,10 wheeler Livestock Truck,12198
Fresh Vegetables,10389,perishable goods,10 wheeler Reefer Truck,10711
Vegetables,10806,crops,10 Wheeler Cargo Truck,10942
Fruits,12013,crops,10 Wheeler Dump Truck,13046
Fresh Vegetables,6986,perishable goods,Large Refrigerated Truck,8457
Milk,2724,perishable goods,Small Refrigerated Truck,4082
Pigs,5334,livestock,Large Livestock Truck,6850
Leafy Greens,5327,perishable goods,Large Refrigerated Truck,7167
Cows,3009,livestock,Large Livestock Truck,3326
Eggs,8906,perishable goods,Large Refrigerated Truck,10673
Cows,146,livestock,Small Livestock Truck,1826
Pigs,4142,livestock,Large Livestock Truck,4438
Cows,6590,livestock,Large Livestock Truck,7702
Milk,7308,perishable goods,Large Refrigerated Truck,8836
Milk,3484,perishable goods,Medium Refrigerated Truck,4643
Eggs,3945,perishable goods,Medium Refrigerated Truck,5285
Chickens,10193,livestock,10 wheeler Livestock Truck,11507
Eggs,886,perishable goods,Medium Refrigerated Van,2720
Vegetables,11707,crops,10 Wheeler Dump Truck,12494
Rice,3512,crops,Heavy Duty Pickup Truck,5471
Chickens,4046,livestock,Large Livestock Truck,4277
Frozen Fish,2186,perishable goods,Small Refrigerated Truck,3009
Vegetables,4729,crops,Dropside Truck,6472
Eggs,5908,perishable goods,Large Refrigerated Truck,6288
Chickens,7715,livestock,10 wheeler Livestock Truck,8797
Cows,7852,livestock,10 wheeler Livestock Truck,8823
Pigs,1067,livestock,Small Livestock Truck,2689
Fresh Vegetables,569,perishable goods,Small Refrigerated Van,998
Vegetables,11185,crops,10 Wheeler Cargo Truck,12065
Meat,10352,perishable goods,10 wheeler Reefer Truck,11680
Leafy Greens,3071,perishable goods,Medium Refrigerated Truck,4929
Corn,9486,crops,10 Wheeler Cargo Truck,11474
Milk,11364,perishable goods,10 wheeler Reefer Truck,11799
Rice,8608,crops,Dropside Truck,10185
Fresh Vegetables,1257,perishable goods,Large Refrigerated Van,3242
Eggs,10817,perishable goods,10 wheeler Reefer Truck,11991
Cows,8604,livestock,10 wheeler Livestock Truck,10524
Eggs,3308,perishable goods,Medium Refrigerated Truck,3738
Frozen Fish,9085,perishable goods,10 wheeler Reefer Truck,10727
Rice,8400,crops,Dropside Truck,8612
Rice,4188,crops,Heavy Duty Pickup Truck,4690
Leafy Greens,11491,perishable goods,10 wheeler Reefer Truck,12217
Cows,2767,livestock,Medium Livestock Truck,4488
Pigs,10611,livestock,10 wheeler Livestock Truck,11918
Leafy Greens,5119,perishable goods,Large Refrigerated Truck,5810
Frozen Fish,5918,perishable goods,Large Refrigerated Truck,7894
Cows,2331,livestock,Medium Livestock Truck,2959
Leafy Greens,6693,perishable goods,Large Refrigerated Truck,8276
Frozen Fish,1836,perishable goods,Small Refrigerated Truck,3268
Chickens,3917,livestock,Large Livestock Truck,5166
Eggs,3746,perishable goods,Medium Refrigerated Truck,5260
Fruits,12601,crops,10 Wheeler Dump Truck,13067
Milk,1849,perishable goods,Small Refrigerated Truck,2044
Leafy Greens,5314,perishable goods,Large Refrigerated Truck,6659
Milk,10550,perishable goods,10 wheeler Reefer Truck,12000
Frozen Fish,6221,perishable goods,Large Refrigerated Truck,6573
Cows,2583,livestock,Medium Livestock Truck,3831
Milk,886,perishable goods,Medium Refrigerated Van,2662
Frozen Fish,723,perishable goods,Small Refrigerated Van,2046
Corn,4852,crops,Dropside Truck,5853
Vegetables,9800,crops,10 Wheeler Cargo Truck,10567
Goats,3104,livestock,Large Livestock Truck,4198
Cows,2129,livestock,Medium Livestock Truck,4031
Leafy Greens,6038,perishable goods,Large Refrigerated Truck,8007
Goats,7424,livestock,10 wheeler Livestock Truck,8957
Vegetables,1800,crops,Elf Truck,2944
Fresh Vegetables,9264,perishable goods,10 wheeler Reefer Truck,9542
Fruits,8817,crops,Dropside Truck,10540
Fruits,4944,crops,Dropside Truck,5846
Eggs,4920,perishable goods,Medium Refrigerated Truck,6795
Meat,1124,perishable goods,Medium Refrigerated Van,2004
Leafy Greens,6397,perishable goods,Large Refrigerated Truck,8079
Meat,1831,perishable goods,Small Refrigerated Truck,2157
Goats,5686,livestock,Large Livestock Truck,7126
Vegetables,13355,crops,10 Wheeler Dump Truck,13903
Goats,9149,livestock,10 wheeler Livestock Truck,10645
Fresh Vegetables,279,perishable goods,Small Refrigerated Van,2260
Corn,4555,crops,Dropside Truck,4945
Milk,1555,perishable goods,Small Refrigerated Truck,3332
Vegetables,7091,crops,Dropside Truck,7430
Vegetables,5091,crops,Dropside Truck,5204
Pigs,10491,livestock,10 wheeler Livestock Truck,10807
